"","author","title_freq","lang_freq","place_freq"
"563","Kinsky, Esther",12,6,7
"564","Kinzelmann, Dietlind",1,1,1
"565","Kirchner, Katrin",3,1,1
"566","Kirsch, Sarah",13,9,12
"567","Kiy, Bärbel",1,1,1
"568","Klaushofer, Roswitha",1,1,1
"569","Klein, Elisabeth",1,1,1
"570","Kliková, Markéta",20,1,1
"571","Kling, Ulla",1,1,1
"572","Kloos, Luise",1,1,1
"573","Kłopocka, Agnieszka",1,1,1
"574","Klubowicz, Marta",1,1,1
"575","Klüssendorf, Angelika",10,7,8
"576","Kneidl, Laura",4,2,2
"577","Knelles, Sylvia",1,1,1
"578","Knobloch, Ina",1,1,1
"579","Knopp, Beate",1,1,1
"580","Koch, Anna",2,2,2
"581","Koch, Jessica",4,4,4
"582","Koch, Ursula",11,7,8
"583","Koenig, Alma Johanna",1,1,1
"584","Kofmehl, Damaris",3,1,1
"585","Kögl, Gabriele",2,2,2
"586","Köhler, Barbara",2,2,2
"587","Köhler, Karen",5,5,5
"588","Kohlmann, Bara",1,1,1
"589","Kolb, Ulrike",1,1,1
"590","Kolmar, Gertrud",16,8,11
"591","Kolosowa, Wlada",1,1,1
"592","Koltz, Anise",1,1,1
"593","König, Barbara",3,2,2
"594","König, Lea",1,1,1
"595","Königsdorf, Helga",4,3,3
"596","Körber, Lili",1,1,1
"597","Korber, Tessa",11,2,3
"598","Kords, Silke",2,1,1
"599","Korn, Carmen",5,3,3
"600","Korschunow, Irina",1,1,1
"601","Koschel, Christine",2,1,1
"602","Koschyk, Heike",2,1,1
"603","Köster-Lösche, Kari",6,3,3
"604","Kottmann, Agnes",1,1,1
"605","Köttner-Benigni, Klara",4,2,2
"606","Koubová, Věra",1,1,1
"607","Koudelková, Eva",1,1,1
"608","Kpalete, Yawhleim",1,1,1
"609","Krall, Hanna",1,1,1
"610","Kraus, Chris",1,1,1
"611","Kraus, Susanne",2,1,1
"612","Krauß, Angela",1,1,1
"613","Krawczyk, Ulrike",1,1,1
"614","Kraxner, Petra Maria",1,1,1
"615","Krechel, Ursula",2,2,2
"616","Kreller, Susan",1,1,1
"617","Kremnitz, Mite",2,1,1
"618","Kremp, Virginie",1,1,1
"619","Kremser, Stefanie",3,3,2
"620","Kreslehner, Gabi",7,2,4
"621","Kretzen, Friederike",4,1,1
"622","Kricheldorf, Rebekka",2,2,2
"623","Krien, Daniela",18,13,13
"624","Kröhn, Julia",7,5,5
"625","Kronauer, Brigitte",5,4,5
"626","Krügel, Mareike",10,9,10
"627","Krüger, Renate",1,1,1
"628","Krupp, Ute-Christine",1,1,1
"629","Kubelka, Susanna",40,8,9
"630","Kubitschek, Ruth Maria",1,1,1
"631","Küchenmeister, Nadja",1,1,1
"632","Kuckart, Judith",4,3,4
"633","Kuczynski, Rita",1,1,1
"634","Kuhlmann, Daniela",1,1,1
"635","Kühn, Andrea",2,1,1
"636","Kuhn, Krystyna",5,3,3
"637","Kuhn, Sandy Taikyu",1,1,1
"638","Kui, Alexandra",1,1,1
"639","Kunze, Andrea",1,1,1
"640","Küppers, Topsy",1,1,1
"641","Kutschke, Svealena",1,1,1
"642","Kuttner, Sarah",5,5,5
"643","Kuzmanova, Jana",1,1,1
"644","Kwaysser, Marie",1,1,1
"645","Lacrosse, Marie",1,1,1
"646","Lain, Tara",1,1,1
"647","Lakotta, Consilia Maria",8,2,2
"648","Lamballe, Marie",6,2,2
"649","Lambeck, Silke",2,2,2
"650","Landmann, Salcia",5,4,4
"651","Lange, Kathrin",5,4,4
"652","Lange, Laura",1,1,1
"653","Lange, Sabine",1,1,1
"654","Langer, Tanja",4,4,4
"655","Lark, Sarah",181,21,28
"656","Lasker-Schüler, Else",29,15,26
"657","Lassnig, Maria",1,1,1
"658","Laube, Sigrid",1,1,1
"659","Laupus, Monika",1,1,1
"660","Laureen, Anne",3,1,1
"661","Lavant, Christine",6,5,5
"662","Lavee, Ingrid",1,1,1
"663","Lazar, Maria",1,1,1
"664","Lechner, Auguste",2,1,1
"665","Leeb, Root",2,2,2
"666","Leeder, Karen",1,1,1
"667","Leenders, Hiltrud",1,1,1
"668","Lehmann, Christine",1,1,1
"669","Lehne, Fr.",1,1,1
"670","Leiber, Svenja",4,4,4
"671","Leinemann, Susanne",1,1,1
"672","Leisner, Regine",1,1,1
"673","Leitner, Maria",1,1,1
"674","Leky, Mariana",12,10,10
"675","Lenz, Anita",1,1,1
"676","Lenze, Ulla",3,3,3
"677","Leon, Donna",3,1,2
"678","Leopold, Elisabeth",1,1,1
"679","Levensohn, Melanie",1,1,1
"680","Lewald, Fanny",1,1,1
"681","Lewin, Waldtraut",2,2,2
"682","Lewitscharoff, Sibylle",21,12,14
"683","Liebmann, Irina",1,1,1
"684","Ligocka, Roma",1,1,1
"685","Lind, Hera",17,9,11
"686","Lindroth, Malin",1,1,1
"687","Lindström, Inga",24,5,4
"688","Link, Charlotte",237,24,40
"689","Link, Michaela",1,1,1
"690","Lipavičienė, Birutė",1,1,1
"691","Loher, Dea",6,4,5
"692","Lohmann, Eva",1,1,1
"693","Löhnig, Inge",6,5,5
"694","Long, Yingtai",1,1,1
"695","Loosli, Ruth",1,1,1
"696","Lorentz, Iny",60,9,11
"697","Lorenz-Lindemann, Karin",1,1,1
"698","Lorenz, Dagmar C. G.",1,1,1
"699","Lorenz, Wiebke",6,4,5
"700","Löschner, Irmgard",1,1,1
"701","Löwenberg, Nele",2,2,2
"702","Lubitsch, Nika",2,2,2
"703","Lucas, Charlotte",24,14,14
"704","Lüders, Else",1,1,1
"705","Luise, Alessandra",1,1,1
"706","Lupi, Nina",1,1,1
"707","Lustiger, Gila",7,4,5
"708","Lyne, Charlotte",6,2,2
"709","Mahlknecht, Selma",1,1,1
"710","Maier, Kathrin",1,1,1
"711","Małgorzewicz, Anna",1,1,1
"712","Mancini, Francesca",1,1,1
